GREFFE,ADRESSE,CODE_POSTAL,VILLE,TELEPHONE,FAX,SITE_LOCAL,COMPLEMENT_ADRESSE,LATTITUDE,LONGITUDE,HORAIRES,NUMERO,GREFFE_NORMALISE,SITE_DATA_GREFFE
CASTRES,3 RUE DE LA PLATE,81100,CASTRES,563625880,563748453,http://www.greffe-tc-castres.fr,,43.604503,2.238529,9H à 12H/14H à 17H00,8102,castres,https://castres-mongreffe.opendatasoft.com
CHAMBERY,12 BD DE LA COLONNE,73008,CHAMBERY CEDEX,479337225,,http://www.greffe-tc-chambery.fr,,45.566941,5.922897,du lundi au vendredi  de 8:30 à 12:00 et de 13:30 à 16:30,7301,chambery,https://chambery-mongreffe.opendatasoft.com
BAYONNE,1 AV ANNE DE NEUBOURG,64100,BAYONNE,559463300,,http://www.greffe-tc-bayonne.fr,,43.493149,-1.484324,Lundi mardi jeudi : 9h00 à 15h30 Mercredi vendredi matin : 9h00 à 12h00,6401,bayonne,https://bayonne-mongreffe.opendatasoft.com
LE MANS,1 AV PIERRE MENDES France,72014,LE MANS CEDEX,243141850,,http://www.greffe-tc-lemans.fr,,48.006951,0.201434,Du lundi au vendredi de 9h à 12h et de 13h30 à 16h30,7202,lemans,https://lemans-mongreffe.opendatasoft.com
AUCH,4 PL DU MARECHAL LANNES,32000,AUCH,562050224,,http://www.greffe-tc-auch.fr,,43.636681,0.584292,8 heures 30 à 12 heures / 14 heures à 16 heures 30,3201,auch,https://auch-mongreffe.opendatasoft.com
BRIVE,6 RUE SAINT BERNARD,19312,BRIVE CEDEX,555177676,,http://www.greffe-tc-brive.fr,,45.157499,1.531445,8H30 à 12H/13H30-17H,1901,brive,https://brive-mongreffe.opendatasoft.com
BOURG-EN-BRESSE,32 AV ALSACE LORRAINE,1011,BOURG EN BRESSE CEDEX,474320003,,http://www.greffe-tc-bourgenbresse.fr,,46.201918,5.220586,,101,bourgenbresse,https://bourgenbresse-mongreffe.opendatasoft.com
GRENOBLE,,38019,GRENOBLE CEDEX 1,456585050,,http://www.greffe-tc-grenoble.fr,PLACE FIRMIN GAUTIER,45.191137,5.711452,,3801,grenoble,https://grenoble-mongreffe.opendatasoft.com
LIMOGES,23 PL WINSTON CHRUCHILL,87000,LIMOGES,555346075,,http://www.greffe-tc-limoges.fr,Cité Judiciaire,45.829238,1.255545,8h30 à 12h00/13h30 à 16h45,8701,limoges,https://limoges-mongreffe.opendatasoft.com
SAINTES,,17108,SAINTES CEDEX,546930102,,http://www.greffe-tc-saintes.fr,PALAIS DE JUSTICE-COURS NATIONAL,45.747701,-0.634815,du lundi au jeudi 9h/12h et 14h/17h   le vendredi 9h/12h  14h/16h,1708,saintes,https://saintes-mongreffe.opendatasoft.com
ORLEANS,44 RUE DE LA BRETONNERIE,45010,ORLEANS CEDEX 1,238780707,,http://www.greffe-tc-orleans.fr,,47.90476,1.905693,Du lundi au vendredi  de 8h30 à 12h et de 13h30 à 17h,4502,orleans,https://orleans-mongreffe.opendatasoft.com
PERPIGNAN,4 RUE ANDRE BOSCH,66834,PERPIGNAN CEDEX,468342433,,http://www.greffe-tc-perpignan.fr,,42.698684,2.8958719,Lundi au Vendredi:9h00 à 12h00/13h45 à 16h00,6601,perpignan,https://perpignan-mongreffe.opendatasoft.com
ROUEN,3 RUE JACQUES LE LIEUR,76005,ROUEN CEDEX,235700860,,http://www.greffe-tc-rouen.fr,,49.439152,1.090522,9 heures - 12 heures et 14 heures - 17 heures du lundi au vendredi,7608,rouen,https://rouen-mongreffe.opendatasoft.com
NIMES,12 RUE CITE FOULC,30000,NIMES,466760351,,http://www.greffe-tc-nimes.fr,,43.833126,4.360349,8h30-12h00 / 13H30-16H00,3003,nimes,https://nimes-mongreffe.opendatasoft.com
MONTPELLIER,9 RUE DE TARRAGONE,34070,MONTPELLIER,467608088,,http://www.greffe-tc-montpellier.fr,,43.604347,3.886102,,3405,montpellier,https://montpellier-mongreffe.opendatasoft.com
PARIS,1 QU DE LA CORSE,75198,PARIS CEDEX 04,891017575,,http://www.greffe-tc-paris.fr,,48.856128,2.346734,,7501,paris,https://paris-mongreffe.opendatasoft.com
LYON,44 RUE DE BONNEL,69433,LYON CEDEX 03,472606980,,http://www.greffe-tc-lyon.fr,,45.764043,4.835659,,6901,lyon,https://lyon-mongreffe.opendatasoft.com
LONS-LE-SAUNIER,7 PL DE L'ANCIEN COLLEGE,39001,LONS LE SAUNIER CEDEX,384244476,,,,46.671361,5.550796,,3902,lonslesaunier,https://lonslesaunier-mongreffe.opendatasoft.com
SALON-DE-PROVENCE,481 BD DE LA REPUBLIQUE,13657,SALON DE PROVENCE CEDEX,490560356,,http://www.greffe-tc-salondeprovence.fr,,43.640493,5.08903,9h-12h/14h-16h,1304,salondeprovence,https://salondeprovence-mongreffe.opendatasoft.com
TROYES,134 RUE DU GENERAL DE GAULLE,10003,TROYES,325731508,,http://www.greffe-tc-troyes.fr,,48.297349,4.069437,de 9h00 à 12h00 et de 14h00 à 16h30 du lundi au vendredi,1001,troyes,https://troyes-mongreffe.opendatasoft.com
SAINT-QUENTIN,,2322,ST QUENTIN CEDEX,323623410,,http://www.greffe-tc-saintquentin.fr,PALAIS DE JUSTICE,49.847897,3.284365,9h-12h/14h-17h,202,saintquentin,https://saintquentin-mongreffe.opendatasoft.com
VILLEFRANCHE-TARARE,350 BD GAMBETTA,69400,VILLEFRANCHE SUR SAONE,474090286,,http://www.greffe-tc-villefranche-tarare.fr,,45.993429,4.71517,,6903,villefranchetarare,https://villefranchetarare-mongreffe.opendatasoft.com
TOULOUSE,PL DE LA BOURSE,31068,TOULOUSE CEDEX 7,561110200,,http://www.greffe-tc-toulouse.fr,,43.601853,1.442252,,3102,toulouse,https://toulouse-mongreffe.opendatasoft.com
AIX-EN-PROVENCE,38 COU MIRABEAU,13625,AIX EN PROVENCE CEDEX 1,442377614,442377629,http://www.greffe-tc-aixenprovence.fr,HOTEL D'ESPAGNET,43.527354,5.449916,du lundi au vendredi  de 8h30 à 12h et de 13h30 à 16h,1301,aixenprovence,https://aixenprovence-mongreffe.opendatasoft.com
